"employee_id","business_unit","department","job_level","manager_status","work_arrangement","location_region","hire_date","tenure_years","tenure_group"
"EMP0001","Client Operations","Customer Support","Professional","Individual Contributor","On-site","South",2020-11-25,4.89,"3-5 years"
"EMP0002","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","South",2024-11-25,0.89,"Less than 1 year"
"EMP0003","Client Operations","Customer Support","Manager","People Manager","Remote","Northeast",2024-02-27,1.63,"1-2 years"
"EMP0004","Client Operations","Customer Support","Professional","Individual Contributor","Hybrid","Northeast",2025-07-29,0.21,"Less than 1 year"
"EMP0005","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Northeast",2007-03-14,18.59,"11 or more years"
"EMP0006","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Northeast",2019-12-26,5.8,"3-5 years"
"EMP0007","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Midwest",2023-11-23,1.89,"1-2 years"
"EMP0008","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","South",2024-10-29,0.96,"Less than 1 year"
"EMP0009","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Northeast",2018-07-03,7.29,"6-10 years"
"EMP0010","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Northeast",2024-08-21,1.15,"1-2 years"
"EMP0011","Client Operations","Customer Support","Director and Above","Individual Contributor","Hybrid","West",2006-06-01,19.37,"11 or more years"
"EMP0012","Client Operations","Customer Support","Professional","Individual Contributor","On-site","West",2022-11-26,2.89,"1-2 years"
"EMP0013","Client Operations","Customer Support","Manager","Individual Contributor","On-site","Northeast",2019-02-26,6.63,"6-10 years"
"EMP0014","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","West",2016-03-30,9.54,"6-10 years"
"EMP0015","Client Operations","Customer Support","Senior Professional","Individual Contributor","On-site","Midwest",2019-11-07,5.94,"3-5 years"
"EMP0016","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Midwest",2025-09-10,0.1,"Less than 1 year"
"EMP0017","Client Operations","Customer Support","Manager","People Manager","On-site","Midwest",2020-12-12,4.84,"3-5 years"
"EMP0018","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","South",2021-06-24,4.31,"3-5 years"
"EMP0019","Client Operations","Customer Support","Entry Level","Individual Contributor","Hybrid","Midwest",2024-04-26,1.47,"1-2 years"
"EMP0020","Client Operations","Customer Support","Senior Professional","Individual Contributor","Hybrid","Northeast",2008-08-18,17.16,"11 or more years"
"EMP0021","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Northeast",2025-07-24,0.23,"Less than 1 year"
"EMP0022","Client Operations","Customer Support","Senior Professional","Individual Contributor","Hybrid","West",2015-03-05,10.61,"6-10 years"
"EMP0023","Client Operations","Customer Support","Senior Professional","Individual Contributor","On-site","Northeast",2018-09-23,7.06,"6-10 years"
"EMP0024","Client Operations","Customer Support","Senior Professional","Individual Contributor","Hybrid","Midwest",2009-07-22,16.23,"11 or more years"
"EMP0025","Client Operations","Customer Support","Senior Professional","Individual Contributor","On-site","West",2018-06-24,7.31,"6-10 years"
"EMP0026","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","South",2015-06-25,10.31,"6-10 years"
"EMP0027","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Northeast",2024-09-20,1.07,"1-2 years"
"EMP0028","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","South",2018-12-18,6.83,"6-10 years"
"EMP0029","Client Operations","Customer Support","Professional","Individual Contributor","On-site","West",2021-10-13,4.01,"3-5 years"
"EMP0030","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Northeast",2021-07-15,4.25,"3-5 years"
"EMP0031","Client Operations","Customer Support","Entry Level","Individual Contributor","Hybrid","Northeast",2012-05-27,13.39,"11 or more years"
"EMP0032","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Northeast",2006-10-02,19.04,"11 or more years"
"EMP0033","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Midwest",2016-04-15,9.5,"6-10 years"
"EMP0034","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Northeast",2025-02-05,0.69,"Less than 1 year"
