"employee_id","business_unit","department","job_level","manager_status","work_arrangement","location_region","hire_date","tenure_years","tenure_group","employment_end_date","survey_wave","survey_date","eligible","invited","response_probability","responded"
"EMP0001","Client Operations","Customer Support","Professional","Individual Contributor","On-site","South",2020-11-25,4.89,"3-5 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.55,FALSE
"EMP0001","Client Operations","Customer Support","Professional","Individual Contributor","On-site","South",2020-11-25,4.89,"3-5 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.55,FALSE
"EMP0002","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","South",2024-11-25,0.89,"Less than 1 year",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.49,FALSE
"EMP0002","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","South",2024-11-25,0.89,"Less than 1 year",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.49,FALSE
"EMP0003","Client Operations","Customer Support","Manager","People Manager","Remote","Northeast",2024-02-27,1.63,"1-2 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.56,FALSE
"EMP0003","Client Operations","Customer Support","Manager","People Manager","Remote","Northeast",2024-02-27,1.63,"1-2 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.56,TRUE
"EMP0004","Client Operations","Customer Support","Professional","Individual Contributor","Hybrid","Northeast",2025-07-29,0.21,"Less than 1 year",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.54,FALSE
"EMP0004","Client Operations","Customer Support","Professional","Individual Contributor","Hybrid","Northeast",2025-07-29,0.21,"Less than 1 year",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.54,TRUE
"EMP0005","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Northeast",2007-03-14,18.59,"11 or more years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.52,TRUE
"EMP0005","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Northeast",2007-03-14,18.59,"11 or more years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.52,FALSE
"EMP0006","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Northeast",2019-12-26,5.8,"3-5 years",2026-04-30,"Wave 1",2025-10-15,TRUE,TRUE,0.55,TRUE
"EMP0006","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Northeast",2019-12-26,5.8,"3-5 years",2026-04-30,"Wave 2",2026-04-15,TRUE,TRUE,0.55,TRUE
"EMP0007","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Midwest",2023-11-23,1.89,"1-2 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.53,TRUE
"EMP0007","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Midwest",2023-11-23,1.89,"1-2 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.53,TRUE
