"employee_id","business_unit","department","job_level","manager_status","work_arrangement","location_region","hire_date","tenure_years","tenure_group","employment_end_date","survey_wave","survey_date","eligible","invited","response_probability","responded","eng_01","eng_02","eng_03","eng_04","mgr_01","mgr_02","mgr_03","mgr_04","psy_01","psy_02","psy_03","psy_04","grw_01","grw_02","grw_03","grw_04","wrk_01","wrk_02","wrk_03","wrk_04","blg_01","blg_02","blg_03","blg_04","its_01","its_02","ovl_01","valid_likert_items","item_completion_rate","usable_response","comment_01","engagement","manager_effectiveness","psychological_safety","growth_development","workload_sustainability","belonging","intent_to_stay"
"EMP0003","Client Operations","Customer Support","Manager","People Manager","Remote","Northeast",2024-02-27,1.63,"1-2 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.56,TRUE,4,5,4,5,4,3,3,4,4,3,5,4,3,4,4,2,3,5,4,NA,2,2,1,1,2,2,5,26,0.962962962962963,TRUE,"Clearer communication about organizational priorities would be helpful.",4.5,3.5,4,3.25,4,1.5,2
"EMP0004","Client Operations","Customer Support","Professional","Individual Contributor","Hybrid","Northeast",2025-07-29,0.21,"Less than 1 year",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.54,TRUE,4,5,3,3,2,4,2,2,4,4,5,4,2,3,1,1,4,5,4,5,4,5,2,1,2,1,3,27,1,TRUE,NA,3.75,2.5,4.25,1.75,4.5,3,1.5
"EMP0005","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Northeast",2007-03-14,18.59,"11 or more years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.52,TRUE,2,3,1,1,4,2,2,5,3,1,4,2,2,1,1,1,1,4,1,NA,3,4,1,1,1,NA,2,25,0.925925925925926,TRUE,"I would like more recognition for good work.",1.75,3.25,2.5,1.25,2,2.25,NA
"EMP0006","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Northeast",2019-12-26,5.8,"3-5 years",2026-04-30,"Wave 1",2025-10-15,TRUE,TRUE,0.55,TRUE,4,2,2,1,NA,3,5,3,1,5,3,3,4,2,3,1,2,1,3,3,3,3,2,1,1,2,2,26,0.962962962962963,TRUE,"I would like clearer information about career growth opportunities.",2.25,3.66666666666667,3,2.5,2.25,2.25,1.5
"EMP0006","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Northeast",2019-12-26,5.8,"3-5 years",2026-04-30,"Wave 2",2026-04-15,TRUE,TRUE,0.55,TRUE,3,2,4,3,4,4,3,2,5,4,4,5,1,3,4,3,5,4,2,5,1,3,1,2,1,5,1,27,1,TRUE,"More opportunities for professional development would improve my experience.",3,3.25,4.5,2.75,4,1.75,3
"EMP0007","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Midwest",2023-11-23,1.89,"1-2 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.53,TRUE,3,4,1,2,2,2,1,3,NA,1,1,1,1,1,1,1,1,1,1,1,4,1,2,3,3,1,1,26,0.962962962962963,TRUE,"I would appreciate more support with workload and competing priorities.",2.5,2,1,1,1,2.5,2
"EMP0007","Client Operations","Customer Support","Professional","Individual Contributor","On-site","Midwest",2023-11-23,1.89,"1-2 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.53,TRUE,NA,4,5,5,2,2,1,1,5,NA,1,5,3,1,3,1,4,4,2,4,1,3,1,2,3,2,4,25,0.925925925925926,TRUE,"I would appreciate more support with workload and competing priorities.",4.66666666666667,1.5,3.66666666666667,2,3.5,1.75,2.5
"EMP0008","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","South",2024-10-29,0.96,"Less than 1 year",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.49,TRUE,5,5,4,4,5,5,5,5,4,4,3,4,4,2,4,2,4,4,4,5,2,1,2,NA,5,5,4,26,0.962962962962963,TRUE,NA,4.5,5,3.75,3,4.25,1.66666666666667,5
"EMP0008","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","South",2024-10-29,0.96,"Less than 1 year",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.49,TRUE,5,5,5,NA,3,3,4,5,NA,3,2,4,2,3,4,5,2,3,2,2,3,3,4,2,3,5,3,25,0.925925925925926,TRUE,"More opportunities for professional development would improve my experience.",5,3.75,3,3.5,2.25,3,4
"EMP0009","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Northeast",2018-07-03,7.29,"6-10 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.55,TRUE,4,5,5,4,2,2,4,4,4,NA,1,3,5,5,NA,3,2,2,4,3,2,2,2,4,4,5,4,25,0.925925925925926,TRUE,NA,4.5,3,2.66666666666667,4.33333333333333,2.75,2.5,4.5
"EMP0009","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Northeast",2018-07-03,7.29,"6-10 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.55,TRUE,5,1,5,4,1,1,2,1,1,1,1,1,2,1,2,2,2,2,2,NA,1,2,2,2,1,1,4,26,0.962962962962963,TRUE,"More consistent feedback from managers would be helpful.",3.75,1.25,1,1.75,2,1.75,1
"EMP0010","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Northeast",2024-08-21,1.15,"1-2 years",NA,"Wave 1",2025-10-15,TRUE,TRUE,0.53,TRUE,2,5,3,4,5,5,4,3,2,2,1,1,4,NA,4,3,2,2,3,1,4,2,5,2,1,2,2,26,0.962962962962963,TRUE,NA,3.5,4.25,1.5,3.66666666666667,2,3.25,1.5
"EMP0010","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Northeast",2024-08-21,1.15,"1-2 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.53,TRUE,1,2,2,4,3,4,5,2,2,1,1,2,4,2,5,4,2,4,2,3,2,1,1,1,3,4,2,27,1,TRUE,"Clearer communication about organizational priorities would be helpful.",2.25,3.5,1.5,3.75,2.75,1.25,3.5
"EMP0011","Client Operations","Customer Support","Director and Above","Individual Contributor","Hybrid","West",2006-06-01,19.37,"11 or more years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.57,TRUE,5,2,1,1,1,4,3,2,2,2,1,2,4,2,2,3,2,3,4,4,5,2,3,5,2,4,2,27,1,TRUE,NA,2.25,2.5,1.75,2.75,3.25,3.75,3
"EMP0014","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","West",2016-03-30,9.54,"6-10 years",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.55,TRUE,4,5,2,5,4,4,5,4,5,4,2,3,2,3,3,1,4,5,5,4,2,2,2,3,2,4,5,27,1,TRUE,"More opportunities to collaborate across teams would improve my experiences.",4,4.25,3.5,2.25,4.5,2.25,3
"EMP0016","Client Operations","Customer Support","Entry Level","Individual Contributor","On-site","Midwest",2025-09-10,0.1,"Less than 1 year",NA,"Wave 2",2026-04-15,TRUE,TRUE,0.49,TRUE,1,3,1,1,2,1,2,5,1,1,1,1,1,2,1,1,4,4,4,4,1,1,1,1,1,1,1,27,1,TRUE,"More consistent feedback from managers would be helpful.",1.5,2.5,1,1.25,4,1,1
