"Variable name","Table","Display label","Description","Data type","Allowed values","Missing-value rule","Source","Public reporting status","Notes","Variable group"
"ovl_01","survey_responses","Overall","Overall, I have a positive experience working at this organization.","Integer","1, 2, 3, 4, 5","Blank or NA when unanswered","Survey response","Aggregated only","Optional overall benchmark; not included automatically in a scale",
"eng_01","survey_responses","Motivation","I feel motivated to do my best work.","Integer","1, 2, 3, 4, 5","Blank or NA when unanswered","Survey response","Aggregated only","Not reverse-coded",
"eng_02","survey_responses","Energy","I feel energized by the work I do.","Integer","1, 2, 3, 4, 5","Blank or NA when unanswered","Survey response","Aggregated only","Not reverse-coded",
"eng_03","survey_responses","Accomplishment","My work gives me a sense of accomplishment.","Integer","1, 2, 3, 4, 5","Blank or NA when unanswered","Survey response","Aggregated only","Not reverse-coded",
"eng_04","survey_responses","Advocacy","I would recommend this organization as a good place to work.","Integer","1, 2, 3, 4, 5","Blank or NA when unanswered","Survey response","Aggregated only","Not reverse-coded",
"mgr_01","survey_responses","Expectations","My manager communicates expectations clearly.","Integer","1, 2, 3, 4, 5","Blank or NA when unanswered","Survey response","Aggregated only","Not reverse-coded",
"mgr_02","survey_responses","Feedback","My manager provides feedback that helps me improve.","Integer","1, 2, 3, 4, 5","Blank or NA when unanswered","Survey response","Aggregated only","Not reverse-coded",
"mgr_03","survey_responses","Support","My manager supports me when I encounter challenges.","Integer","1, 2, 3, 4, 5","Blank or NA when unanswered","Survey response","Aggregated only","Not reverse-coded",
"mgr_04","survey_responses","Fairness","My manager treats team members fairly.","Integer","1, 2, 3, 4, 5","Blank or NA when unanswered","Survey response","Aggregated only","Not reverse-coded",
"psy_01","survey_responses","Speaking up","I can raise concerns on my team without fear of negative consequences.","Integer","1, 2, 3, 4, 5","Blank or NA when unanswered","Survey response","Aggregated only","Not reverse-coded",
"psy_02","survey_responses","Admitting mistakes","People on my team can acknowledge mistakes openly.","Integer","1, 2, 3, 4, 5","Blank or NA when unanswered","Survey response","Aggregated only","Not reverse-coded",
"psy_03","survey_responses","Asking for help","I feel comfortable asking members of my team for help.","Integer","1, 2, 3, 4, 5","Blank or NA when unanswered","Survey response","Aggregated only","Not reverse-coded",
"psy_04","survey_responses","Sharing different views","Different perspectives are welcomed on my team.","Integer","1, 2, 3, 4, 5","Blank or NA when unanswered","Survey response","Aggregated only","Not reverse-coded",
"grwth_01","survey_responses","Skill development","I have opportunities to develop skills that are relevant to my work.","Integer","1, 2, 3, 4, 5","Blank or NA when unanswered","Survey response","Aggregated only","Not reverse-coded",
"grwth_02","survey_responses","Career clarity","I understand the career opportunities available to me at this organization.","Integer","1, 2, 3, 4, 5","Blank or NA when unanswered","Survey response","Aggregated only","Not reverse-coded",
"grwth_03","survey_responses","Development support","I receive support for my professional development.","Integer","1, 2, 3, 4, 5","Blank or NA when unanswered","Survey response","Aggregated only","Not reverse-coded",
"grwth_04","survey_responses","Future opportunities","I can see opportunities for my continued growth at this organization.","Integer","1, 2, 3, 4, 5","Blank or NA when unanswered","Survey response","Aggregated only","Not reverse-coded",
"wrk_01","survey_responses","Manageability","My workload is manageable.","Integer","1, 2, 3, 4, 5","Blank or NA when unanswered","Survey response","Aggregated only","Not reverse-coded",
"wrk_02","survey_responses","Time","I have enough time to complete my work effectively.","Integer","1, 2, 3, 4, 5","Blank or NA when unanswered","Survey response","Aggregated only","Not reverse-coded",
"wrk_03","survey_responses","Staffing/resources","I have access to the resources needed to meet my work responsibilities.","Integer","1, 2, 3, 4, 5","Blank or NA when unanswered","Survey response","Aggregated only","Not reverse-coded",
"wrk_04","survey_responses","Sustainable pace","I can maintain my current work pace without becoming overwhelmed.","Integer","1, 2, 3, 4, 5","Blank or NA when unanswered","Survey response","Aggregated only","Not reverse-coded",
"blg_01","survey_responses","Inclusion","I feel included at this organization.","Integer","1, 2, 3, 4, 5","Blank or NA when unanswered","Survey response","Aggregated only","Not reverse-coded",
"blg_02","survey_responses","Respect","I feel respected by the people I work with.","Integer","1, 2, 3, 4, 5","Blank or NA when unanswered","Survey response","Aggregated only","Not reverse-coded",
"blg_03","survey_responses","Authenticity","I feel comfortable being myself at work.","Integer","1, 2, 3, 4, 5","Blank or NA when unanswered","Survey response","Aggregated only","Not reverse-coded",
"blg_04","survey_responses","Connection","I feel connected to the people in this organization.","Integer","1, 2, 3, 4, 5","Blank or NA when unanswered","Survey response","Aggregated only","Not reverse-coded",
"its_01","survey_responses","Expected continued employment","I expect to still be working at this organization one year from now.","Integer","1, 2, 3, 4, 5","Blank or NA when unanswered","Survey response","Aggregated only","Intent-to-stay outcome; not reverse-coded",
"its_02","survey_responses","Preference to remain","I would prefer to continue working at this organization rather than seek employment elsewhere.","Integer","1, 2, 3, 4, 5","Blank or NA when unanswered","Survey response","Aggregated only","Intent-to-stay outcome; not reverse-coded",
"comment_01","survey_responses","Open-ended","What is one thing this organization could do to improve your experience at work?","Text","Free-text response","Blank or NA when unanswered","Survey response","Excluded from public row-level data","Synthetic comments only; themes may be reported in aggregate",
"employee_id","employee_population","Employee ID","Synthetic identifier assigned to each employee.","Text","EMP0001–EMP3600","Never missing","Generated","Excluded","Internal linkage field only","Employee and survey identifiers"
"survey_wave","employee_population","Survey wave","Survey administration wave associated with the employee record.","Text","Wave 1, Wave 2","Never missing","Generated","Public","One employee may appear in both waves","Employee and survey identifiers"
"survey_date","employee_population","Survey launch date","Date on which the survey was launched.","Date","Valid date","Never missing","Generated","Public","Same date for all records within a wave","Employee and survey identifiers"
"business_unit","employee_population","Business unit","Employee's assigned business unit at survey launch.","Text","Client Operations, Technology and Product, Corporate Services","Never missing for eligible employees","Generated","Aggregated only","Used for subgroup reporting","Organizational variables"
"department","employee_population","Department","Employee's assigned department at survey launch.","Text","Customer Support, Implementation, Service Delivery, Engineering, Data and Analytics, Product, Human Resources, Finance, Sales and Marketing","Never missing for eligible employees","Generated","Aggregated only","Nested within business unit","Organizational variables"
"job_level","employee_population","Job level","Employee's organizational job level at survey launch.","Text","Entry level, Professional, Senior Professional, Manager, Director and Above","Never missing for eligible employees","Generated","Aggregated only","Separate from manager status","Organizational variables"
"manager_status","employee_population","Manager status","Indicates whether the employee directly manages other employees.","Text","Individual Contributor, People Manager","Never missing for eligible employees","Generated","Aggregated only","Do not infer solely from job level","Organizational variables"
"work_arrangement","employee_population","Work arrangement","Employee's primary work arrangement at survey launch.","Text","On-site, Hybrid, Remote","Never missing for eligible employees","Generated","Aggregated only","May vary by department","Organizational variables"
"location_region","employee_population","Location region","Broad geographic work location assigned to the employee.","Text","Northeast, South, Midwest, West","Never missing for eligible employees","Generated","Aggregated only","Use broad regions, not exact addresses","Organizational variables"
"hire_date","employee_population","Hire date","Synthetic date on which the employee joined the organization.","Date","Valid date on or before survey date","Never missing for eligible employees","Generated","Excluded","Used to calculate tenure","Tenure variables"
"tenure_years","employee_population","Tenure in years","Number of years between the hire date and survey launch date.","Decimal","0 or greater","Never missing when hire date is available","Derived","Aggregated only","Calculated separately for each wave","Tenure variables"
"tenure_group","employee_population","Tenure group","Grouped employee tenure at survey launch.","Text","Less than 1 year, 1–2 years, 3–5 years, 6–10 years, 11 or more years","Never missing when tenure is available","Derived","Aggregated only","Used for dashboard comparisons","Tenure variables"
"eligible","employee_population","Survey eligible","Indicates whether the employee met the eligibility criteria for the survey wave.","Integer","0 = No, 1 = Yes","Never missing","Generated","Aggregated only","Defines the survey population","Eligibility and participation variables"
"exclusion_reason","employee_population","Exclusion reason","Reason an employee was excluded from the eligible survey population.","Text","Inactive before launch, Ineligible temporary worker, Joined after population freeze, Left before invitation, Invalid contact information, Other","Blank or NA when eligible","Generated","Aggregated only","Only populated when eligible = 0","Eligibility and participation variables"
